rooms,area_m2,price,floor,total_floor,is_new_building,place
2,65,750,10,16,1,Dərnəgül m.
2,65,750,10,17,1,Nizami r.
3,85,800,18,18,1,Nəriman Nərimanov m.
3,120,700,9,18,1,Həzi Aslanov m.
3,110,1200,8,16,1,Şah İsmayıl Xətai m.
2,100,1500,6,17,1,Gənclik m.
3,120,3500,4,6,0,Ağ şəhər q.
2,40,500,5,5,0,Neftçilər m.
2,92,900,3,15,1,Nəriman Nərimanov m.
2,45,598,1,5,0,İnşaatçılar m.
2,70,700,15,17,1,Nəsimi m.
2,90,750,4,14,1,20 Yanvar m.
2,70,1200,3,17,1,Nəsimi r.
2,60,500,8,10,1,Köhnə Günəşli q.
2,90,1100,15,18,1,8 Noyabr m.
