location,rooms,area_m2,price,url
"Elan №5767786 - Bakı, Nəsimi m., 2 otaqlı, 62 m², 2/5 mərtəbə",2,62,600,https://bina.az/items/5767786
"Elan №5740311 - Bakı, Nizami m., 3 otaqlı, 100 m², 6/12 mərtəbə",3,100,1650,https://bina.az/items/5740311
"Elan №5767783 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 70 m², 2/4 mərtəbə",3,70,700,https://bina.az/items/5767783
"Elan №5767779 - Bakı, 28 May m., 2 otaqlı, 80 m², 7/17 mərtəbə",2,80,1100,https://bina.az/items/5767779
"Elan №5763290 - Bakı, Zabrat q., 1 otaqlı, 38 m², 1/1 mərtəbə",1,38,250,https://bina.az/items/5763290
"Elan №5767773 - Bakı, İnşaatçılar m., 3 otaqlı, 80 m², 2/5 mərtəbə",3,80,550,https://bina.az/items/5767773
"Elan №5474142 - Bakı, 8 Noyabr m., 3 otaqlı, 106 m², 18/27 mərtəbə",3,106,1200,https://bina.az/items/5474142
"Elan №5767743 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 70 m², 9/21 mərtəbə",2,70,1000,https://bina.az/items/5767743
"Elan №5767771 - Bakı, Qara Qarayev m., 2 otaqlı, 100 m², 14/17 mərtəbə",2,100,900,https://bina.az/items/5767771
"Elan №5578263 - Bakı, 28 May m., 1 otaqlı, 42 m², 8/18 mərtəbə",1,42,600,https://bina.az/items/5578263
"Elan №5743172 - Bakı, Nəsimi r., 3 otaqlı, 115 m², 7/18 mərtəbə",3,115,1500,https://bina.az/items/5743172
"Elan №5763503 - Bakı, Azadlıq Prospekti m., 3 otaqlı, 120 m², 5/5 mərtəbə",3,120,649,https://bina.az/items/5763503
"Elan №5764883 - Bakı, Neftçilər m., 2 otaqlı, 60 m², 4/5 mərtəbə",2,60,548,https://bina.az/items/5764883
"Elan №5761644 - Bakı, 20 Yanvar m., 1 otaqlı, 45 m², 17/17 mərtəbə",1,45,549,https://bina.az/items/5761644
"Elan №5602868 - Bakı, Sahil m., 2 otaqlı, 65 m², 3/4 mərtəbə",2,65,1300,https://bina.az/items/5602868
"Elan №5767765 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 70 m², 9/20 mərtəbə",2,70,1000,https://bina.az/items/5767765
"Elan №5767763 - Bakı, İnşaatçılar m., 3 otaqlı, 120 m², 12/17 mərtəbə",3,120,2200,https://bina.az/items/5767763
"Elan №5767760 - Bakı, Qara Qarayev m., 3 otaqlı, 80 m², 11/12 mərtəbə",3,80,750,https://bina.az/items/5767760
"Elan №4837738 - Bakı, Nizami m., 2 otaqlı, 121 m², 9/9 mərtəbə",2,121,1600,https://bina.az/items/4837738
"Elan №5767757 - Bakı, İnşaatçılar m., 2 otaqlı, 55 m², 11/17 mərtəbə",2,55,720,https://bina.az/items/5767757
"Elan №5756841 - Bakı, Yasamal q., 2 otaqlı, 65 m², 4/14 mərtəbə",2,65,700,https://bina.az/items/5756841
